A	B
1552833_at	0	0
1552834_at	0	0
1552835_at	13.6268418166365	0
1552836_at	-19.7945296944842	0
1552837_at	0	0
1552839_at	0	0
1552841_s_at	0	0
1552842_at	0	-16.9807434014124
1552843_at	0	0
1552845_at	-145.079455760321	0
1552846_s_at	-427.064020357338	0
1552848_a_at	0	56.3996407748336
1552849_at	0	0
1552851_at	0	0
1552852_a_at	0	0
1552853_at	0	0
1552854_a_at	0	0
1552856_at	14.730729133362	-20.8025447625873
1552857_a_at	0	0
1552858_at	3.18226359958716	5.40877796576865
1552860_at	0	0
1552862_at	0	0
1552863_a_at	211.463294607402	237.649556130184
1552865_a_at	0	0
1552867_at	128.881229519358	48.4476608225912
1552868_at	0	0
1552870_s_at	-5.06328033620228	-10.4234416482418
1552872_at	0	0
1552873_s_at	0	0
1552875_a_at	0	0
1552876_at	15.2085388185955	13.658590082041
1552877_s_at	0	0
1552878_at	0	97.0405883852008
1552879_a_at	-20.7727974522784	-39.9450560424183
1552880_at	-10.7021454778142	-48.6662026532791
1552882_a_at	13.5709540289581	0
1552884_at	0	4.59267096886447
1552885_a_at	0	0
1552887_at	0	0
1552889_a_at	55.4753208573859	0
1552890_a_at	0	0
1552892_at	0	0
1552893_at	0	-153.564913638246
1552895_a_at	-36.192934578252	53.0279574075044
1552897_a_at	22.9187551247386	4.69204746069832
1552898_a_at	0	0
1552899_at	14.9568136987326	-4.5235977715762
1552900_a_at	20.54572958138	0
1552902_a_at	0	0
1552903_at	0	0
1552904_at	0	23.5880808752186
1552906_at	0	0
1552908_at	0	11.7999389513142
1552910_at	0	0
1552911_at	0	0
1552912_a_at	19.2817152706384	0
1552913_at	0	0
1552914_a_at	0	0
1552915_at	0	0
1552917_at	0	0
1552919_at	0	0
1552921_a_at	0.58035261251905	-20.6353154698145
1552922_at	0	102.949261802077
1552923_a_at	0	-42.688973416923
1552924_a_at	0	-230.742348714371
1552925_at	0	-151.693791514602
1552927_at	96.0218450184308	52.7463835174987
1552928_s_at	-2.11158224362197	16.8280948986567
1552929_at	0	0
1552930_at	73.3339434642386	108.447288439848
1552931_a_at	-66.1531616045968	-26.0319560263423
1552932_at	0	0
1552933_at	0	0
1552935_at	33.3965723772498	18.4304227488251
1552937_s_at	72.5626994270466	-76.651943729051
1552938_at	11.2097483495409	-136.980318836472
1552939_at	17.4157356200767	23.3593289907548
1552940_at	3.40811086818522	0
1552942_at	165.117659238702	142.210822918203
1552943_at	0	184.067535982589
1552944_a_at	0	0
1552946_at	39.7496069007993	31.0020419982168
1552947_x_at	-9.11927179677033	-6.82437294409874
1552948_at	0	0
1552950_at	-28.890589204962	0
1552952_at	0	0
1552953_a_at	15.0896628510641	200.070387795937
1552954_at	0	0
1552955_at	-20.1478306951764	0
1552957_at	0	-3.31372902702523
1552960_at	-32.3151620508688	0
1552961_at	-14.0728781035451	-6.08034655029536
1552964_at	0	0
1552965_a_at	0	0
1552967_at	21.2900564008682	22.7784038323587
1552969_a_at	21.0610442213075	0
1552970_s_at	18.5607915664167	11.4784199722698
1552971_at	0	-14.550749388889
1552972_at	0	0
1552973_at	0	0
1552974_at	0	0
1552975_x_at	0	0
1552976_at	56.8896857841309	210.823398824172
1552977_a_at	-335.696557570641	-56.972776387568
1552978_a_at	145.953359819703	404.276422396835
1552979_at	0	0
1552980_at	0	0
1552982_a_at	0	0
1552985_at	-38.0591286070145	0
1552986_at	54.4246368163173	-11.6992874747561
1552987_a_at	0	0
1552988_at	1.02519067754552	7.96081087633951
1552990_at	0	0
1552991_at	0	0
1552993_at	0	0
1552995_at	0	0
1552997_a_at	0	0
1552998_at	0	0
1552999_a_at	0	0
1553002_at	0	0
1553003_at	0	0
1553004_at	0	0
1553006_at	0	0
1553007_a_at	0	-13.4906382036777
1553009_s_at	0	0
1553011_at	-23.426434749007	0
1553013_at	-9.20346353025395	7.05869800212133
1553015_a_at	166.827723719928	-182.946299256181
1553016_at	0	0
1553019_at	0	0
1553020_at	16.0738716116264	-18.8261743720381
1553021_s_at	-96.4523293731568	-30.3859684306302
1553022_at	0	0
1553023_a_at	63.8686416700335	-1.07343608245149
1553024_at	-6.30227931154467	8.44586525853028
1553025_at	0	0
1553027_a_at	0	-4.3908287998446
1553028_at	0	0
1553030_a_at	-22.6427623196708	-41.7599203875951
1553031_at	0	0
1553032_at	0	0
1553033_at	-55.6302336723437	0
1553034_at	12.7620365018855	98.4248991739918
1553036_at	0	0
1553037_a_at	0	-96.3266738622566
1553039_a_at	0	0
1553041_at	0	0
1553042_a_at	-19.6334082637043	0
1553043_a_at	0	26.7546384620916
1553044_at	0	0
1553045_at	0	0
1553046_s_at	0	0
1553047_at	0	0
1553048_a_at	-42.5724416329328	-55.1558539210173
1553051_s_at	0	0
1553052_at	0	0
1553053_at	0	0
1553055_a_at	-38.3106604937882	0
1553057_at	33.6754232519468	0
1553058_at	0	0
1553059_at	0	0
1553060_at	0	24.179814487219
1553061_at	0	0
1553062_at	0	0
1553063_at	0	0
1553064_at	0	0
1553066_at	0	0
1553067_a_at	0	0
1553069_at	0	0
1553070_a_at	0	0
1553071_a_at	-6.75973327838633	0
1553072_at	0	0
1553074_at	0	0
1553075_a_at	0	0
1553076_at	12.5204347810597	0
1553077_at	0	0
1553078_at	0	0
1553079_at	0	0
1553080_at	16.4855381341389	-14.3226686289166
1553081_at	0	0
1553082_at	0	0
1553083_at	0	0
1553084_at	0	0
1553086_at	0	0
1553087_at	0	0
1553088_a_at	58.1401513361947	87.6430828612505
1553089_a_at	0	-9.38225142572399
1553093_a_at	0	0
1553094_at	0	0
1553096_s_at	291.847684865509	51.1710296294028
1553099_at	-90.3763256586479	-66.750824353808
1553101_a_at	13.1691242883069	65.7228540296637
1553102_a_at	124.576996581637	-30.24693169261
1553103_at	-170.241279140109	-117.700598078965
1553105_s_at	-143.215352570281	0
1553106_at	144.754635439347	123.446150420691
1553107_s_at	148.023365641419	270.805039958383
1553108_at	161.415677821082	101.967443852711
1553111_a_at	140.019865187857	419.716520186268
1553112_s_at	-28.9675918253819	-30.575341581266
1553113_s_at	442.992882858488	285.549412376705
1553114_a_at	0	0
1553115_at	0	0
1553117_a_at	-66.935684268029	-152.418620768591
1553118_at	51.0178476969213	-5.2996438112952
1553120_at	5.82618659614809	0
1553122_s_at	108.365023446484	71.4875574726906
1553123_at	68.778003216794	-27.1867590428046
1553125_x_at	8.82948467759429	0
1553126_a_at	0	278.159253997778
1553127_a_at	15.6522952882729	-28.1928632069551
1553129_at	0	103.820082046606
1553130_at	-40.6183148893062	-27.5047547796527
1553131_a_at	0	0
1553132_a_at	108.828502532782	15.0581362642387
1553133_at	16.2955848875129	-159.178423481558
1553134_s_at	0	-19.2590600237864
1553136_at	0	0
1553137_s_at	22.2144992535154	78.2731325870855
1553138_a_at	-56.9608304113105	0
1553139_s_at	65.4833752341539	-108.782602480438
1553140_at	0	18.6912699696885
1553141_at	0	59.7025038757384
1553142_at	1.55876276071804	111.576878567891
1553145_at	119.83507743127	68.5319138288276
1553146_at	0	0
1553147_at	0	-130.58416677881
1553148_a_at	112.663294880456	164.128039244052
1553150_at	69.784184848965	66.7156992305756
1553151_at	-32.8317865093479	0
1553153_at	140.430981366628	149.97955807849
1553155_x_at	101.281802841894	90.759798693553
1553156_at	0	0
1553157_at	36.0687417674871	0
1553158_at	27.8188011006382	53.3947792736898
1553159_at	-15.942982203503	14.5523827908672
1553162_x_at	112.13179708073	62.4033793509428
1553163_at	0	43.5355906612798
1553165_at	46.9871565952069	3.44486460242292
1553166_at	19.6118524798606	0
1553167_a_at	-66.9557863776162	-25.1608323346717
1553168_at	0	0
1553169_at	0	0
1553171_x_at	0	0
1553172_at	206.180278492281	123.018454372224
1553174_at	0	0
1553175_s_at	5.26872081464184	0
1553176_at	0	0
1553177_at	12.2547756620593	-1.28190348823667
1553178_a_at	0	34.2248058014887
1553179_at	0	0
1553180_at	13.0835208958763	0
1553181_at	105.772953472862	125.896776527498
1553183_at	0	0
1553185_at	-2370.54023259065	-502.56911551767
1553186_x_at	610.074196417455	2365.11114125554
1553188_s_at	0	0
1553190_s_at	0	-16.1970353168696
1553191_at	78.4128516103997	12.2950564788886
1553192_at	70.3691203497099	106.180784333545
1553193_at	36.3973839272906	91.8525932363583
1553194_at	0	-42.551931027225
1553196_a_at	0	0
1553197_at	0	0
1553199_at	0	0
1553202_at	0	-22.6605562795131
1553204_at	78.2451888192132	-16.9146202760876
1553205_at	-50.3028228864595	103.922418409966
1553207_at	0	44.1455353070739
1553208_s_at	0	-46.8069429332695
1553209_at	-34.8680393699592	-40.4379316395511
1553211_at	0	0
1553212_at	28.5365121095758	-33.4329290053996
1553213_a_at	0	0
1553214_a_at	5.33697099966853	66.8550213132804
1553215_s_at	0	0
