D0	D8	N
200016_x_at	0.217135595776021	0.298185145863767	0.298185145863767
200017_at	0.292140653860287	0.274237718190911	0.274237718190911
200018_at	0.0954842040667501	0.0440408340067968	0.0440408340067968
200019_s_at	0.320681729743129	0.152593279964094	0.152593279964094
200020_at	-0.0352385522868257	-0.0456004819195055	-0.0456004819195055
200021_at	0.523601527347505	0.517074998857471	0.517074998857471
200022_at	0.302052454226278	0.25185017709325	0.25185017709325
200023_s_at	0.412252670109712	0.444913551907838	0.444913551907838
200024_at	0.326613221989641	0.0512348479984936	0.0512348479984936
200025_s_at	0.0240078080196451	-0.0650819284147381	-0.0650819284147381
200026_at	0.285274789299617	0.285440839236166	0.285440839236166
200027_at	0.344286177960644	0.367351251380521	0.367351251380521
200028_s_at	0.300828723328133	0.195289938796773	0.195289938796773
200029_at	0.161922737575818	0.122199545152986	0.122199545152986
200030_s_at	-0.0935075792976257	-0.181325360986271	-0.181325360986271
200031_s_at	0.0681084332269322	0.0171708739593814	0.0171708739593814
200032_s_at	0.281254200647588	0.241480016761695	0.241480016761695
200033_at	-0.391099959494637	-0.164370665809223	-0.164370665809223
200034_s_at	-0.034125764484374	-0.0823036158907247	-0.0823036158907247
200035_at	-0.215710699040978	-0.151689557818239	-0.151689557818239
200036_s_at	0.310398608957126	0.286361103619079	0.286361103619079
200037_s_at	0.260817421780398	0.414582030945081	0.414582030945081
200038_s_at	-0.0767678891027952	-0.137402576589629	-0.137402576589629
200039_s_at	0.670565357941708	0.446267732330414	0.446267732330414
200040_at	0.237742677724075	0.268536938038412	0.268536938038412
200041_s_at	0.707420056472293	0.852730775024035	0.852730775024035
200042_at	-0.00581810323673082	-0.13816030040808	-0.13816030040808
200043_at	0.111767922306688	-0.179936090093632	-0.179936090093632
200044_at	-0.432722118046806	-0.382539503702278	-0.382539503702278
200045_at	-0.0108034063363842	-0.0065471040809495	-0.0065471040809495
200046_at	-0.0397186308338835	-0.248698378719428	-0.248698378719428
200047_s_at	0.201891211857157	0.213115622364889	0.213115622364889
200048_s_at	0.359411513314834	0.221930346268966	0.221930346268966
200049_at	-1.00167736590849	-1.02856436309031	-1.02856436309031
200050_at	0.544534758670249	0.955325658137104	0.955325658137104
200051_at	0.874505037103543	0.823165970498527	0.823165970498527
200052_s_at	-0.913591008408348	-0.827155512452041	-0.827155512452041
200053_at	-0.346506217484732	-0.227179958692112	-0.227179958692112
200054_at	0.249309983105267	-0.0828694425980085	-0.0828694425980085
200055_at	0.46817334660534	0.490076047277983	0.490076047277983
200056_s_at	0.26663100810131	0.0816628882737884	0.0816628882737884
200057_s_at	-0.0612467315881489	0.211908889847596	0.211908889847596
200058_s_at	0.177097417670209	0.0579045127677773	0.0579045127677773
200059_s_at	-0.789822707380816	-0.609339446288882	-0.609339446288882
200060_s_at	-0.0231480981487078	-0.108441268208928	-0.108441268208928
200061_s_at	-0.0805445851919231	-0.26147400864075	-0.26147400864075
200062_s_at	0.36055905435752	0.291945780181166	0.291945780181166
200063_s_at	0.168853814763958	0.288155596406138	0.288155596406138
200064_at	-1.34003515937963	-1.29624104409672	-1.29624104409672
200065_s_at	-1.22191710092037	-1.17360656520082	-1.17360656520082
200066_at	0.152112789714813	0.399054630417231	0.399054630417231
200067_x_at	0.304604381923989	0.216677721741249	0.216677721741249
200068_s_at	-0.358942124689129	-0.326951177368986	-0.326951177368986
200069_at	0.461726886318798	0.284061825713811	0.284061825713811
200070_at	0.474883268487622	0.641535865181561	0.641535865181561
200071_at	0.25434386243758	0.429966997068242	0.429966997068242
200072_s_at	-0.582381276749311	-0.363651831973799	-0.363651831973799
200073_s_at	-0.29023643452806	-0.287213669624006	-0.287213669624006
200074_s_at	-0.0284553872637598	-0.0094999857245277	-0.0094999857245277
200075_s_at	0.342391296856084	0.729002043412695	0.729002043412695
200076_s_at	-0.32867981114237	-0.433152493246805	-0.433152493246805
200077_s_at	-0.0181459028878432	-0.00357409033014733	-0.00357409033014733
200078_s_at	-0.392349077579004	-0.742413215517809	-0.742413215517809
200079_s_at	-0.981853839654439	-0.766030844272363	-0.766030844272363
200080_s_at	-0.130462883044173	-0.186581938126436	-0.186581938126436
200081_s_at	-0.0604641146619063	-0.261567795645448	-0.261567795645448
200082_s_at	0.0658680127555655	-0.0110666243034867	-0.0110666243034867
200083_at	-0.534952595280631	-0.528152712658272	-0.528152712658272
200084_at	0.14104596185021	0.108819289013757	0.108819289013757
200085_s_at	0.377220368448723	0.388034134290244	0.388034134290244
200086_s_at	0.446536847839713	0.295399552922092	0.295399552922092
200087_s_at	-0.662624452147675	-0.833136922557012	-0.833136922557012
200088_x_at	0.235267822568639	0.12928189908407	0.12928189908407
200089_s_at	-0.160294371533951	-0.226676692615051	-0.226676692615051
200090_at	0.918709095184404	0.956660576619505	0.956660576619505
200091_s_at	-0.101834499447094	-0.208220662624415	-0.208220662624415
200092_s_at	0.359040541509527	0.322367871646875	0.322367871646875
200093_s_at	0.243716635275005	0.00765339367260154	0.00765339367260154
200094_s_at	-0.0208213403128497	-0.20123786976616	-0.20123786976616
200095_x_at	0.308533095386457	0.283036891297458	0.283036891297458
200096_s_at	0.340550978209883	-0.188663421886693	-0.188663421886693
200097_s_at	-0.665469302276636	-0.5900581066642	-0.5900581066642
200098_s_at	0.157805990239707	0.163214806254109	0.163214806254109
200099_s_at	0.0593956310081385	0.0544609302697232	0.0544609302697232
200593_s_at	-0.450617329171676	-0.38448485874402	-0.38448485874402
200594_x_at	-0.466007778471541	-0.48768951277982	-0.48768951277982
200595_s_at	0.337959901311352	0.322205299239265	0.322205299239265
200596_s_at	-0.655144108813667	-0.804829944415832	-0.804829944415832
200597_at	0.389654657020031	0.210401703990918	0.210401703990918
200598_s_at	-0.755024872698508	-0.743043231413134	-0.743043231413134
200599_s_at	-0.801090133615629	-0.593104025991211	-0.593104025991211
200600_at	-1.27603318580005	-1.28504570510799	-1.28504570510799
200601_at	1.33674259971813	1.30231935091228	1.30231935091228
200602_at	0.829177769959383	0.877400348294984	0.877400348294984
200603_at	-0.132230833160593	0.0685869779974375	0.0685869779974375
200604_s_at	-1.88855236295459	-1.6190317922189	-1.6190317922189
200605_s_at	-0.905217929257205	-0.538209728844731	-0.538209728844731
200606_at	0.0826095831153355	-0.773953607743612	-0.773953607743612
200607_s_at	-0.477586935877452	-0.455397577787547	-0.455397577787547
200608_s_at	0.384451266735859	0.469883544254808	0.469883544254808
200609_s_at	-0.0698742556614143	0.0790709079058747	0.0790709079058747
200610_s_at	-0.224242451709749	-0.276130937501907	-0.276130937501907
200611_s_at	-0.882148379151515	-0.74445690634294	-0.74445690634294
200612_s_at	-1.07978179702542	-1.04485039814578	-1.04485039814578
200613_at	-0.500720163890875	-0.439994294704098	-0.439994294704098
200614_at	-0.213448164166946	-0.156974427580728	-0.156974427580728
200615_s_at	-0.176270130303505	-0.570930598518823	-0.570930598518823
200616_s_at	-0.320096874313599	-0.79244593623592	-0.79244593623592
200617_at	1.203480335127	2.34736664343598	2.34736664343598
200618_at	-0.000681502376421506	-0.107047471880177	-0.107047471880177
200619_at	0.309364664277984	0.898206160636887	0.898206160636887
200620_at	0.00135841294353689	-0.048282984347221	-0.048282984347221
200621_at	0.852177464351259	0.193442720235666	0.193442720235666
200622_x_at	-0.660750415329671	-0.937641814887439	-0.937641814887439
200623_s_at	0.59683958806866	0.656124182250082	0.656124182250082
200624_s_at	-0.449498479648495	-0.399204379571453	-0.399204379571453
200625_s_at	-0.0630499470360757	-0.016543090999134	-0.016543090999134
200626_s_at	-0.250335980018837	-0.138600387325349	-0.138600387325349
200627_at	0.0610223184670282	-0.0566484643049812	-0.0566484643049812
200628_s_at	-1.19640451935838	-1.52607579346291	-1.52607579346291
200629_at	-0.485062746471726	-0.247929297593668	-0.247929297593668
200630_x_at	-0.461500653785444	-0.730345179446589	-0.730345179446589
200631_s_at	-0.0218135139036928	0.0903698964268767	0.0903698964268767
200632_s_at	-0.950354639295234	-0.760221978877567	-0.760221978877567
200633_at	0.332545444833823	0.294454105028102	0.294454105028102
200634_at	-0.341829365740098	-0.417768939918483	-0.417768939918483
200635_s_at	-1.57393328206906	-0.681106664864862	-0.681106664864862
200636_s_at	-0.336313287026264	0.125779565431322	0.125779565431322
200638_s_at	-1.20888363246047	-1.00875986694903	-1.00875986694903
200639_s_at	-0.0497482325585707	0.185331489997367	0.185331489997367
200640_at	-1.31942915272107	-0.8781635836422	-0.8781635836422
200641_s_at	-2.19230904946436	-1.87861370775694	-1.87861370775694
200642_at	-0.0673265923110709	-0.0282933210711001	-0.0282933210711001
200643_at	1.12321069641256	0.944408650722922	0.944408650722922
200644_at	-0.3143455845698	0.0385019231961596	0.0385019231961596
200645_at	-0.371657532985314	-0.38035312953734	-0.38035312953734
200646_s_at	-2.32216411405371	-5.13333194703554	-5.13333194703554
200647_x_at	0.107253665365954	0.0172804891234559	0.0172804891234559
200648_s_at	-2.47564506233418	-2.26556870214933	-2.26556870214933
200649_at	0.915843383151464	0.368340684499803	0.368340684499803
200650_s_at	-0.129572130513862	-0.136839848673299	-0.136839848673299
200651_at	-0.15818648088692	-0.118587679969865	-0.118587679969865
200652_at	-0.139510659998168	-0.423225027025252	-0.423225027025252
200653_s_at	-0.421577922113281	-0.29119611801034	-0.29119611801034
200654_at	-1.33859308107166	-0.612683090585607	-0.612683090585607
