D0	D33
200598_s_at	-0.0144699670460504	-0.0144699670460504
200599_s_at	0.00222224628827483	0.00222224628827483
200600_at	-1.05889346573463	-1.05889346573463
200601_at	0.34555707441962	0.34555707441962
200602_at	-0.0927237055980665	-0.0927237055980665
200603_at	-0.0101709352331589	-0.0101709352331589
200604_s_at	-0.178700047147185	-0.178700047147185
200605_s_at	-0.121813908617245	-0.121813908617245
200606_at	-0.276134086059812	-0.276134086059812
200607_s_at	0.0378696613671359	0.0378696613671359
200608_s_at	0.89260844399239	0.89260844399239
200609_s_at	-0.645870786283812	-0.645870786283812
200610_s_at	0.581570042490087	0.581570042490087
200611_s_at	-0.582468048027943	-0.582468048027943
200612_s_at	-0.622143926360049	-0.622143926360049
200613_at	-0.690379290070874	-0.690379290070874
200614_at	1.94454919332347	1.94454919332347
200615_s_at	-0.65876024213107	-0.65876024213107
200616_s_at	-0.187541731373301	-0.187541731373301
200617_at	0.549885718367721	0.549885718367721
200618_at	-0.28652010650578	-0.28652010650578
200619_at	-0.231910172743179	-0.231910172743179
200620_at	-0.702819231518278	-0.702819231518278
200621_at	0.0409559959887709	0.0409559959887709
200622_x_at	-0.205099978097591	-0.205099978097591
200623_s_at	0.181715510134385	0.181715510134385
200624_s_at	0.295251494559572	0.295251494559572
200625_s_at	-0.625952370048093	-0.625952370048093
200626_s_at	0.424008539014975	0.424008539014975
200627_at	0.313466726646348	0.313466726646348
200628_s_at	-1.19640451935838	-1.19640451935838
200629_at	-0.411676133918876	-0.411676133918876
200630_x_at	0.206191302727399	0.206191302727399
200631_s_at	0.306604681168714	0.306604681168714
200632_s_at	-2.19754893704784	-2.19754893704784
200633_at	-0.206913699514439	-0.206913699514439
200634_at	0.077136191711471	0.077136191711471
200635_s_at	4.32486273330313	4.32486273330313
200636_s_at	6.025457001506	6.025457001506
200638_s_at	-0.434941343540576	-0.434941343540576
200639_s_at	-0.808896691393844	-0.808896691393844
200640_at	-0.637048966022375	-0.637048966022375
200641_s_at	-0.761949348883524	-0.761949348883524
200642_at	-0.636378997433676	-0.636378997433676
200643_at	1.43076497030971	1.43076497030971
200644_at	-0.330999414523971	-0.330999414523971
200645_at	-0.462386934805563	-0.462386934805563
200646_s_at	2.45427721930005	2.45427721930005
200647_x_at	0.0346226600092372	0.0346226600092372
200648_s_at	0.839839171063442	0.839839171063442
200649_at	0.592768830320777	0.592768830320777
200650_s_at	0.229163306938375	0.229163306938375
200651_at	0.0527311359280525	0.0527311359280525
200652_at	-0.316345970029664	-0.316345970029664
200653_s_at	-0.752212309684287	-0.752212309684287
200654_at	-0.738690904345253	-0.738690904345253
200655_s_at	-0.149574979116212	-0.149574979116212
200656_s_at	-0.449345586112948	-0.449345586112948
200657_at	0.041009363791904	0.041009363791904
200658_s_at	-0.184478339724544	-0.184478339724544
200659_s_at	-0.425425048468261	-0.425425048468261
200660_at	-6.04143623285902	-6.04143623285902
200661_at	2.65490759235325	2.65490759235325
200662_s_at	0.75432962011473	0.75432962011473
200663_at	-0.749822519872755	-0.749822519872755
200664_s_at	-1.44155815962199	-1.44155815962199
200665_s_at	-0.877913385394399	-0.877913385394399
200666_s_at	-1.3463087718994	-1.3463087718994
200667_at	-0.241357936797968	-0.241357936797968
200668_s_at	-0.041173106230902	-0.041173106230902
200669_s_at	-0.291536063232689	-0.291536063232689
200670_at	-0.911265692382955	-0.911265692382955
200671_s_at	0.536655622848661	0.536655622848661
200672_x_at	0.292071683124378	0.292071683124378
200673_at	0.0691286595462088	0.0691286595462088
200674_s_at	-0.149147281781655	-0.149147281781655
