D0	D33
1007_s_at	-0.515837149231894	-4.33440739956283
1053_at	0.384092550739123	0.192778322656807
117_at	-3.16328779805566	-0.654042668722759
121_at	-0.643750803683742	-1.02429663750732
1294_at	-0.725104089221983	0.236713958030904
1316_at	-0.335329232422253	-0.29141990805278
1405_i_at	-0.239122033301605	-0.0710666339957893
1431_at	1.82195658070596	-1.48606290902496
1487_at	-2.5709603142582	1.9404615422756
1494_f_at	1.00148461818685	0.453040853551462
1598_g_at	-2.29757419232489	-7.0030906593218
160020_at	1.23288565656687	2.11089742707944
1729_at	-0.381770185770898	0.250484983167041
177_at	-2.0133301839305	-2.60396644809667
1773_at	-2.97793772812728	0.601813103963375
1861_at	0.55203262894096	1.67288765042737
200000_s_at	-0.138516883603726	-0.536065381352717
200001_at	-0.313189738205303	-0.0973558154829455
200002_at	0.0102438707314612	-0.332110086012605
200003_s_at	-0.149820034405503	-0.238772279139205
200004_at	-0.107705071394241	0.0416841216883697
200005_at	0.119468182330616	-0.597825861290049
200006_at	0.314922350073195	-0.144274546697106
200007_at	-0.136629348736159	-0.0777480724649919
200008_s_at	-0.349860975731481	-0.194107960960441
200009_at	-0.377569226954424	-0.334317995076763
200010_at	0.086613091681512	-0.241440149588961
200011_s_at	-0.455483999540586	-0.771314721310576
200012_x_at	-0.0479917259672398	-0.0583009640973131
200013_at	0.087868643622242	0.00175432660078023
200014_s_at	0.0533247652696485	-0.276126480399679
200015_s_at	0.593083351247678	0.223638235250364
200016_x_at	0.0679591221769336	0.0300974317599128
200017_at	0.0961648253118792	0.032943896315448
200018_at	0.153885059327349	-0.0726385635372768
200019_s_at	-0.242975022816887	-0.380335028232134
200020_at	0.4001322092906	-0.0110360732073023
200021_at	-0.328557410089148	0.0469180118693995
200022_at	0.0549152385584257	-0.195015056173736
200023_s_at	0.0158614206572825	-0.17126187731742
200024_at	0.0876001352131777	-0.437988759040707
200025_s_at	0.0868449452210225	-0.0811999223669293
200026_at	-0.334673522849824	-0.316363570746763
200027_at	0.194442477911119	0.0408265853485066
200028_s_at	0.573943386204952	0.328860725143311
200029_at	0.0455948447239845	-0.0558536884694973
200030_s_at	0.179313157713834	-0.276725813167081
200031_s_at	-0.0768700484645848	-0.1194559822983
200032_s_at	-0.0299578557175497	0.122620315994359
200033_at	-0.088310157607749	0.0254745376802514
200034_s_at	0.237392957899404	-0.0246585251785056
200035_at	-0.486845120349003	-0.346999373819447
200036_s_at	0.189935268551579	-0.114192165622745
200037_s_at	0.897971888751616	0.59202553192036
200038_s_at	-0.121039547045743	-0.172642112345008
200039_s_at	0.211297130888017	-0.117144812847011
200040_at	0.321159992908942	0.155854671138959
200041_s_at	0.237892788153056	0.140604790341788
200042_at	0.116908051213123	-0.400497540942988
200043_at	0.152336008388758	-0.254003403964603
200044_at	0.0654907505909854	-0.262878971389
200045_at	0.0107409759723218	-0.55432956172878
200046_at	-0.832036117189022	-0.22641690429513
200047_s_at	0.234528798563801	0.483303019997825
200048_s_at	0.0250134466957181	0.0566342982358989
200049_at	-0.649746409958546	-0.899589891377541
200050_at	0.74313947387401	1.13205936744399
200051_at	0.710822903102301	0.525829618675086
200052_s_at	-0.104807301141046	-0.386137071153453
200053_at	0.117566676460626	-0.16859725701311
200054_at	0.0211565306567696	-0.512925516101483
200055_at	-0.36957898549627	-0.150732255990569
200056_s_at	0.243447334909277	0.19225538700181
200057_s_at	-0.265371811792605	-0.141829082195773
