Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
P015_D0	0.2777039410251684	0	0.07195875546704113	0.11325127752821115	0.19827122862111143	0.0029193179969083465	0.018099254591372023	0	0.009006468929151254	0	0.10359117821519198	0	0.07485157058558771	0.0424186416746162	0	0	0	0.010850740900062638	0.03357398242464123	0	0.03482899036714535	0.008674651673791186	0	0.6040017800808031	0.8020865351472128
P016_D0	0.586582215458291	0	0.012478190240240737	0.037656555220942245	0.0762120942354449	0.09377162823504157	0	0	0	0	0	0.06693366507043057	0.025490530408973706	0.018744273262148878	0	0.02179203084012819	0	0	0.030906270000585837	0	0.029432547027772427	0	0	0.44946229220545897	0.9225328008274102
P017_D0	0.24193834362423844	0	0.005773475852435436	0.3978807311487522	0	0	0.017134375618860595	0.08915305307024399	0.04712750040658544	0.00999516385372797	0	0.11576308957152555	0.025546347386120986	0.010818568946543514	0	0.0038308878102495266	0	0.0014633727671974812	0.0036264626313972812	0	0.01994094662515999	0.01000768068696155	0	0.6236239225900745	0.7816655732816497
P018_D0	0.36153894036481704	0	0.052097776571261384	0.11534960259436725	0.02155640309963214	0.1511605166472719	0	0	0	0	0.04519967441224127	0.03584176349158269	0.10996716381412602	0.02247086698397448	0	0	0	0.012341884843732031	0	0.03289474097163083	0.039580666205362984	0	0	0.35156838879675834	0.9545330876496145
P019_D0	0.5686307531188655	0	0.05038627929369066	0	0.2262774932188654	0.011396833505126183	0	0	0	0	0.0610762757694794	0.0014638905974001808	0.03719891400993162	0.01318021875880927	0	0.005339816567673917	0	0.0024383867251954344	0.011274775187794949	0	0.011336363247167464	0	0	0.415395640197	0.9521820792060179
P020_D0	0.3273124312967287	0	0.15496715146398946	0.12263488171842897	0.06374437821665314	0	0.01374863752106788	0.009132590999715265	0.04422046726104942	0	0.14024174664404312	0.01909178454684918	0.026896524023822102	0.022533172928181345	0	0	0	0	0.046170086396670536	0	0.008880786006952655	0.0004	0	0.4136355567441044	0.9289174705197171
P022_D0	0.4394867316587572	0	0.1353912333135588	0.02749060030986318	0.08141159559753443	0.08601020973935906	0	0	0	0	0	0.09913849065521074	0.01358031250951306	0.010045738778029828	0	0	0	0.009481534059781511	0.04501737275007554	0	0.04542449381731463	0.007521686811002041	0	0.32815414607342724	0.9975528611531631
P023_D0	0.07893339443579253	0	0.03989133894134974	0.1879154463474195	0.10121654897299709	0	0.02908849840237061	0.02519806595764168	0	0.01758600430305271	0.15102793922592356	0	0.2347222082483428	0.03526566950978499	0	0	0	0.001884887405493222	0.04610860674363571	0	0.01834399007562737	0.03281740143056848	0	0.4217723861096784	0.9065820894930275
P024_D0	0.48225510868571364	0	0.057643040862351155	0	0.14911058657606027	0.036421515956673416	0	0	0	0.013432075408407861	0.0737051231844804	0	0.08432012602234794	0.029000037898669714	0	0	0	0.006722049039877967	0.029531150311204166	0	0.037859186054213484	0	0	0.3090673580784872	0.9982163017948668
P025_D0	0.31526792356612915	0	0.17583496021050965	0.0642079418188339	0.026806973023649653	0.09610730994790861	0	0.027585006824480247	0	0	0.004442073408861936	0.10871820396437216	0.06382736469388456	0.01469609290743631	0	0.004205640999891578	0	0.009812783065526052	0.043236604924114956	0	0.040631113187435126	0.004620007456966033	0	0.3272241001040661	0.9806071897673798
