"D0_Others"	"D8_Others"	"D0_TEL.AML1"	"D8_TEL.AML1"
"1053_at"	0.800445663214123	0.693406214993981	1.17804675674548	1.05108301130266
"117_at"	0	0	0	0
"121_at"	0	0.949374266529045	0.698628017155285	1.11690686234839
"1294_at"	-0.0849493062364424	-0.534616170694676	-0.0842040072106869	-0.570817045862679
"1316_at"	0	0	-1.11436755860578	-0.161844419906925
"160020_at"	1.78745937828984	0	0.968046030561649	1.06099533336627
"1729_at"	-0.180424545159854	-0.750366976934549	-0.179946389272484	-0.217813337388852
"177_at"	0	0	0	0
"1861_at"	0	0	0.471623597479301	0.00169734882549744
"200001_at"	0.667279900445454	0.0980838348227682	0.891214548557622	0.74931121267961
"200002_at"	-0.0557590080201873	-0.421163455401263	-0.236189609250514	-0.208849587195058
"200004_at"	-0.0760822183491552	-0.142045184459018	0.119941166765519	-0.268698856920116
"200005_at"	0.38712972106087	0.596617794225534	0.633218161457112	0.553002615367429
"200006_at"	-0.545141370784828	-0.234137778450949	-0.298185473123619	-0.15956486491665
"200007_at"	0.00099881925184242	0.139625176207131	0.0307033077672756	-0.0849291398683363
"200009_at"	0.962816113065156	1.1182222154556	1.12556366224597	1.137880861002
"200010_at"	0.250789261015191	0.0660405611399373	0.00742574248760519	0.00982767951718344
"200013_at"	0.56380127082133	0.389857433740286	0.557642727716354	0.565601433157854
"200017_at"	-0.228167510296913	-0.443732407217105	-0.503476789898912	-0.396839809597404
"200018_at"	0.474055550919381	0.225230867845861	0.215140863807161	0.340134282873503
"200020_at"	0.281791410675782	0.360868216752921	0.38482570087162	0.402787687312786
"200021_at"	0.571750353383049	0.490683952817031	0.449653329968877	0.476419009783173
"200022_at"	0.441499776190659	-0.00645199027409937	0.131402678791918	0.222139872050137
"200024_at"	0.257932736008648	0.269331631299954	0.213476187596378	0.480337925120672
"200026_at"	0.667102635663843	0.27541475698302	0.210651033794203	0.427509206384553
"200027_at"	-0.328097601781717	0.10368979917285	-0.28650488122031	-0.0746110564683296
"200029_at"	0.524164962615004	0.271549985565191	0.156995304721852	0.381527171074971
"200033_at"	0.0269654432929052	-0.146897839551329	-0.140924971747928	-0.306347376684368
"200035_at"	0.0980463106345653	-0.139001967604099	0.0118741343460407	-0.204519339144563
"200040_at"	-0.721399836754252	-0.248698533192218	-0.492554128166622	-0.304394865602639
"200042_at"	0.572352658175339	0.848797541670624	0.772178819118237	0.807325929956553
"200043_at"	-1.25053271862248	-0.640768739344116	-0.907095648464187	-0.738411397151596
"200044_at"	-0.112556482528017	-0.0222323429577838	0.031805440119026	-0.10226840253975
"200045_at"	0.395885813527418	0.472929679443084	0.753090828377941	0.663788451655664
"200046_at"	-0.180730868177566	-0.0185104816161576	-0.0752606546586136	-0.0206053556914867
"200049_at"	0.448505838383007	0.573193594247275	0.616452194266508	0.570385554706316
"200050_at"	-0.563431064675479	-0.107389021609189	-0.239285204455385	-0.611317584136151
"200051_at"	0.101257648156052	-0.043779770097208	0.211653017736236	0.426536347076867
"200053_at"	0.876893544590729	0.508923667238179	0.654386055861593	0.638637647033978
"200054_at"	-0.576763087824004	0.141335657959779	-0.270462357076362	0.0493126149808081
"200055_at"	-0.109977527661586	-0.489307646383921	-0.501219051608741	-0.906556294552963
"200064_at"	0.921441293115853	1.40126338748598	2.01419202935324	1.71036951248805
"200066_at"	0.413918767327841	0.497838170793059	0.856290440979324	0.655116960917541
"200069_at"	-0.00805962916919611	0.319786623669192	-0.131335825832867	-0.0755857673975751
"200070_at"	-0.47217497800585	-0.922316105099176	-0.460076534646811	-0.765125912925473
"200071_at"	-1.14301152141887	-0.9782874655267	-0.975724840316932	-1.00893235172388
"200083_at"	0.193057387768974	0.243019434533835	-0.123124589096916	-0.0303972889030799
"200084_at"	0.136178070484515	0.534244979817432	-0.0746477125107763	-0.0799627705993462
"200090_at"	-0.718297491399174	-0.336316934501658	-0.426587895222193	-0.384315827021561
"200597_at"	-0.587837631238985	-0.136209608534985	-0.291155092705161	0.0325355337904938
"200600_at"	0.197582581872144	0.0695112717084214	0.215268682861065	0.428960429560235
"200601_at"	-0.617945353713381	-0.653969908497565	-0.448458236415064	-0.421057905374912
"200602_at"	-1.74751601405448	-1.20136758409399	-2.02811946352318	-2.03131050301028
"200603_at"	-0.37202099764615	-0.561932223382348	-0.47889421263107	-0.7287714729713
"200613_at"	0.841592551796733	0.585823875462612	1.42450496964354	1.05412606116421
"200614_at"	1.00007670046927	1.43854713544169	0.745294168593778	0.967286917906895
"200617_at"	0.439936493386623	0.703156577645897	0.673491035355116	0.804467406485124
"200618_at"	-0.297894236016294	-0.230287196623747	-0.219203592471885	-0.258479171654834
"200619_at"	-0.0352623389508757	0.335250346323937	0.228475650979778	0.0446993202803814
"200620_at"	0.12451466442578	0.125544960845906	0.28326510023973	0.407506214546906
"200621_at"	0.269842888559831	-0.046428732748927	0.279136964990556	0.407887839543831
"200627_at"	-0.271956321273271	0.136297402148854	0.293791752919411	0.0383205604478718
"200629_at"	0.174062833880152	-0.177673149865493	-0.213072846353144	0.260394326447724
"200633_at"	0.585162574501275	0.576578702944129	0.362800785143412	0.594113161668352
"200634_at"	0.106751933321593	-0.0618830816362284	-0.279336016022047	-0.326516865897501
"200640_at"	0.688480378196637	0.509167560382503	0.985964099023739	0.745100867458561
"200642_at"	-0.348993177168204	0.127675835018096	0.0621754411012088	0.0633943466332489
"200643_at"	0.787122033211791	0.612128165282792	0.713157945860303	0.929135338709374
"200644_at"	-0.824100648465135	-0.218719832228704	-0.512325833650651	-1.05710934556899
"200645_at"	0.34050033662011	0.0158674718163159	-0.0351057610680137	-0.0717356936643583
"200649_at"	1.2194624873688	0.31389789923403	0.952295935347273	0.442320253236174
"200651_at"	0.745544241258218	0.318388721886771	0.561215529058503	0.504945834192855
"200652_at"	0.0637020160647612	0.0137816985244825	0.217391496150169	0.242727086023448
"200654_at"	0.714006537807082	0.806161549109184	1.16022145932779	0.0771490052068309
"200657_at"	0.349165968439605	0.417753950743235	0.351269317049892	0.331900495457324
"200660_at"	0.542848151737465	-0.976497167532141	-2.41353051272469	-0.805558386440229
"200661_at"	0.729805503770372	0.174635697298557	0.616423541790438	0.733389354420618
"200663_at"	0.528747879165316	0.377239853591774	0.1826766575213	0.342269905175025
"200667_at"	-0.356932881583658	-0.441176269434449	-0.411474664462	-0.389352923869
