"D0_Others"	"D8_Others"	"D0_TEL.AML1"	"D8_TEL.AML1"
"1053_at"	0.131557261697909	0.0608492676081038	0.482177670892774	0.167020240218283
"117_at"	-0.107709913134299	0.385424105139406	0	1.01094295533145
"121_at"	0.313996456263971	-0.287185288704178	-0.177711782589901	-0.103601389222746
"1294_at"	-0.493501946722677	-0.850109046719419	-0.69114104521036	-1.17793271855171
"1316_at"	-1.91750626849402	-1.93149474322475	-2.03080258222178	-1.42889482850667
"160020_at"	-0.0701169996295281	-0.450612122357714	-0.275609840671515	-0.894286671154951
"1729_at"	-0.576420575266386	-0.616556958940432	-0.531374092849882	-0.623683180277339
"177_at"	0.10049978727502	-0.27949520010381	0	-0.0290312758514535
"1861_at"	0.0456195572271998	-0.694234406630917	0.145685119130356	-0.371887159515333
"200001_at"	1.33371181219452	0.971813200909921	1.33090474455466	1.18045331857186
"200002_at"	-0.071564436577999	-0.261239406486363	-0.220924225043211	-0.145189548696671
"200004_at"	0.504453279593676	0.155427023187123	0.419008964345156	0.219520788894979
"200005_at"	0.593648757370296	0.55146698441772	0.379503153770914	0.615832697645663
"200006_at"	-0.391027733545954	-0.403697073972808	-0.417419201305032	-0.385795061167672
"200007_at"	-0.190611753905761	-0.4474367274924	-0.247223532350869	-0.396589721070676
"200009_at"	0.222171660411906	0.0109392530004033	0.200683957396755	0.021070672780283
"200010_at"	0.0313140952556044	0.104742386179867	-0.157978827975189	0.192885657347134
"200013_at"	0.748156276725608	0.601573398311062	0.511010313303185	0.485617099886095
"200017_at"	-0.088172541964294	-0.315632478894099	-0.316402808246036	-0.0725853292284331
"200018_at"	-0.026992100220065	-0.137919320756792	-0.160094597998905	0.0961755377052338
"200020_at"	0.177262521856051	0.373842468000362	0.0595109602768016	0.224039439436842
"200021_at"	-0.308418597003298	-0.398167910802945	-0.306141512687608	-0.116635628091215
"200022_at"	-0.314162770803977	-0.467084289102187	-0.452274370426171	-0.303737462025952
"200024_at"	-0.233138821693428	-0.236643435605542	-0.415432109108242	-0.13517151564008
"200026_at"	-0.305385995854454	-0.455802235629138	-0.464973252340249	-0.246148507496947
"200027_at"	-0.570545877670178	-0.297731509608809	-0.646128454545435	-0.601976069618727
"200029_at"	-0.176255863035486	-0.266427844517082	-0.349672490483382	-0.0527815176074249
"200033_at"	0.216868133198943	-0.0800228653428885	0.175320921158605	0.150925207934787
"200035_at"	0.283505123520616	0.357939290081196	0.5272782703065	0.527942538521589
"200040_at"	0.00181895780066377	-0.175004954778714	-0.198816665602681	-0.230045060182086
"200042_at"	0.127940462253132	0.000630888982710687	-0.0133625526272265	-0.0381120591353543
"200043_at"	-0.466269125805141	-0.209263366117442	-0.190009017300305	-0.12521032736711
"200044_at"	0.0240313931405751	-0.10649018746688	0.34727582652099	-0.0377876105984249
"200045_at"	-0.0805702955944962	-0.00858240680044986	0.119014397407192	0.0011933729377489
"200046_at"	-0.546669383153692	-0.040510841645526	-0.0118743559385361	-0.128530152996451
"200049_at"	0.76013060553564	0.631899182891274	0.853489872260676	1.05449359656723
"200050_at"	-0.129355916049606	0.221565463521534	-0.191535771681679	-0.892028291108685
"200051_at"	-0.966272120154825	-1.16106786045156	-1.09851618056056	-0.857573570779516
"200053_at"	-0.287334798207263	-0.474396289348689	-0.116221934072032	-0.208654405027115
"200054_at"	-0.518298609690262	-0.444904392640122	-0.635032931504057	-0.386319174594401
"200055_at"	-0.833611682445763	-0.90715046046814	-0.765659172320971	-0.852885103670483
"200064_at"	1.09430367293505	1.55981969174242	1.55359941710434	1.23640738636274
"200066_at"	-0.174336134408865	-0.247228696158	-0.151574875705064	-0.339503467842414
"200069_at"	-0.331862153790622	0.267578199518397	-0.249154305549135	-0.0576784017155703
"200070_at"	-0.22191036403828	-0.609333366216049	-0.109931534153427	0.158832539659249
"200071_at"	-0.402701783512326	-0.592819675349283	-0.403628349291445	-0.458346147289147
"200083_at"	0.606702817446259	0.379087351483044	0.300289345586149	0.410960958345193
"200084_at"	0.0437878716008164	0.113293032466522	-0.134637750306903	-0.201132491188146
"200090_at"	-1.1810052921068	-0.77121723943241	-1.01040029465103	-1.07482060741812
"200597_at"	-0.217966891375022	0.147914384572744	-0.0327337871794242	0.0300180924777944
"200600_at"	0.526036322888476	0.694122536316911	0.837335559130125	1.10768811350754
"200601_at"	0.571082535324136	0.302714015454042	0.799659723664043	0.701926175338125
"200602_at"	-1.02551766882493	-0.940750189370933	-1.86761238630288	-1.16286601438043
"200603_at"	0.163675720380864	-0.170709888561547	0.146182427355638	-0.0849354636043707
"200613_at"	0.812889167132287	0.895051616847546	0.957145188695558	1.05816115909055
"200614_at"	0.563162502228028	0.487600792397625	0.136539940768101	0.124902220263738
"200617_at"	-0.113286974604849	-0.00467664084009201	0.157454674441206	-0.174199875162669
"200618_at"	0.149545818199991	0.283594563820122	0.348683852000789	0.101511864058832
"200619_at"	-0.0872051925722932	0.100399628406027	-0.0658781877200987	-0.00411840015812359
"200620_at"	-0.599874587510257	-0.519393343820143	-0.408608904994685	-0.389413507301825
"200621_at"	0.175300524410305	-0.105793175658444	0.0544556364934348	0.270049283087157
"200627_at"	-0.058716151189536	0.262050571141135	0.0128263253918455	-0.187921081478654
"200629_at"	-0.435525519067685	0.0161020735933466	0.285774018292638	0.283189888038743
"200633_at"	-0.6598702649801	-0.625439320723666	-0.614785334675362	-0.30110702200634
"200634_at"	0.334686745571871	0.629164423626117	0.797715962424901	0.664374387774361
"200640_at"	1.08445776271104	0.796217161247007	1.37243513227037	1.06444651493985
"200642_at"	-0.551508029368719	-0.166945899619149	-0.120125940618522	-0.20622061796165
"200643_at"	0.136205878666386	0.0493718230275864	-0.188109419691716	0.101639744272459
"200644_at"	0.098846116838061	-0.652589612117115	0.0814878521347087	-0.968384211208505
"200645_at"	-0.0387185538858148	0.0591480344660233	0.133659455105406	0.490752674796218
"200649_at"	1.23873848380505	1.21600096527707	1.23963761172602	1.27823688053606
"200651_at"	0.28025759487714	0.142707202928767	0.172400041099628	0.202720548590317
"200652_at"	-0.360195127220647	-0.0959442088687812	-0.114837729896811	0.0872543116192173
"200654_at"	0.844406940684461	1.1860400097587	1.52060516672067	1.17693249251562
"200657_at"	0.286347840677156	-0.046670273526118	0.107991322344303	0.181489271736343
"200660_at"	-0.773090927818387	0.0268770949204171	-1.36913846323255	-0.313270289428237
"200661_at"	0.390396968131826	0.86174541151084	0.369030130328543	0.830625192582163
"200663_at"	-0.373656343294934	0.122092980678909	-0.275740636311195	-0.108775239795273
"200667_at"	-0.488062649568292	-0.616379495198165	-0.616260969076297	-0.546450009325838
"200670_at"	-0.663910932845653	-1.07351162610684	-0.665921242516797	-1.22848129748783
"200673_at"	-0.187131301769224	-0.464119454255252	-0.31765968832944	-0.247777039799999
"200675_at"	0.615980833710942	-0.056365453658211	0.466289303031278	0.153610312456108
"200677_at"	-0.694399199494901	-0.348076211399214	-0.889266564882192	-0.654104926099043
"200681_at"	0.0554822766147005	-0.0176211558024431	-0.158372431960286	0.0839042074024476
"200685_at"	-0.224456716987412	-0.254687799822474	-0.412116011548946	-0.499658336276747
"200688_at"	-0.414794647996095	-0.526916267002917	-0.668587130298453	-0.718533912083739
"200690_at"	-0.327743880285473	-0.270159688589686	-0.282834399595798	-0.11943371738152
"200693_at"	0.881412811425648	0.504286792275586	0.706689656021657	0.289023460224392
"200695_at"	0.811127574162951	0.509642541569198	0.971911408984443	0.549969660221521
"200697_at"	0.350192712376003	0.647488376309497	0.664936645603136	0.610895283375779
"200698_at"	0.952163496602738	1.06882245865919	0.300978758374283	0.604943332696283
"200699_at"	0.100121887886635	0.191530907584339	-0.239834589555206	-0.0585944579806554
