"D0_Others"	"D8_Others"
"1053_at"	0.137039224227582	0.853537284838067
"117_at"	0.655368073414867	0.07234954451331
"121_at"	0.171545781585354	-0.039670720651511
"1294_at"	-0.587747714367229	-0.553841315223684
"1316_at"	-1.12235915087601	-0.932393920715964
"160020_at"	0.969311827399598	0.0181783461570895
"1729_at"	-0.483836384774824	-0.702431953360582
"177_at"	0	0
"1861_at"	0.0616601805580759	-0.426015325722449
"200001_at"	0.188998729627849	-0.0167199974913821
"200002_at"	-0.106849378393669	-0.385263605631836
"200004_at"	0.452064904331655	0.309431318698
"200005_at"	0.800261715557458	0.753455973539413
"200006_at"	-0.335044487417754	-0.2978152124257
"200007_at"	-0.112886158755188	-0.435565957856431
"200009_at"	-0.0643328402814483	0.155740457123684
"200010_at"	0.0559033464822409	-0.190276507573728
"200013_at"	0.702555739447636	0.476305331473919
"200017_at"	-0.196594533446202	-0.695622431613645
"200018_at"	-0.0716208903038513	-0.419364492205997
"200020_at"	0.3946747979926	0.477983638585119
"200021_at"	-0.841961508638885	-1.14599991432216
"200022_at"	-0.31044688147138	-0.653788446546612
"200024_at"	-0.327056018969717	-0.568008321937121
"200026_at"	-0.550599321987198	-0.956960919701411
"200027_at"	-0.206305074133173	0.027219626065385
"200029_at"	-0.257365578288466	-0.552870035706297
"200033_at"	0.318970226531759	-0.0533540033886979
"200035_at"	-0.312207662200855	-0.169781540027961
"200040_at"	0.367372896504561	0.34139706596339
"200042_at"	0.066936514743162	0.0925208352197018
"200043_at"	-0.420940497695401	0.164427065643315
"200044_at"	0.581512409816101	0.596612821973212
"200045_at"	-0.331762783717583	-0.286959602513996
"200046_at"	-0.42302834371651	-0.186032476123158
"200049_at"	0.593466377558148	0.694487603612
"200050_at"	0.439134157867652	0.503032374827965
"200051_at"	-0.176127484623034	-0.188250667422192
"200053_at"	0.267506537640951	0.175878387954217
"200054_at"	-0.432969104051166	-0.113659175916455
"200055_at"	-0.35639664822866	-0.620656537620912
"200064_at"	0.646373754627325	0.848627330640662
"200066_at"	0.111623790592537	-0.104126575325973
"200069_at"	-0.132162231548548	0.231249187081785
"200070_at"	-0.551993347293472	-0.582058280271751
"200071_at"	0.0083415848951649	-0.207964640133854
"200083_at"	0.415354823422428	0.416747978593731
"200084_at"	0.172221719521559	0.424775695523895
"200090_at"	-0.757038016339783	-0.488355544131615
"200597_at"	0.174540265450661	0.256766137739945
"200600_at"	0.902760662355835	0.90012328939132
"200601_at"	-1.80167387763932	-1.88727712981456
"200602_at"	-0.28130029610846	-1.04179745258378
"200603_at"	0.389818155191747	0.121938339248644
"200613_at"	-0.482731762811101	-0.405750394534302
"200614_at"	1.10670925346856	1.42765618581782
"200617_at"	-1.20516242465157	-0.733224099778463
"200618_at"	0.196982202018274	0.0463972199073144
"200619_at"	-0.288179522079522	-0.0926766721544148
"200620_at"	-0.0793800630441091	-0.531876694338436
"200621_at"	-0.483552968238763	-0.79672532636696
"200627_at"	-0.0248276305034505	0.302568746936471
"200629_at"	-1.26968376767231	-0.871679170860753
"200633_at"	-0.46795937339988	-0.882179027720468
"200634_at"	-0.664457367601649	-0.678095398137717
"200640_at"	0.464906165033362	0.260029138985017
"200642_at"	-0.867144516721945	-0.668136497764483
"200643_at"	-0.152162930568544	-0.223347586277344
"200644_at"	0.167873919665743	0.507461903243483
"200645_at"	-0.05099045478687	-0.182761752760097
"200649_at"	-1.25858458853651	-1.82478089918134
"200651_at"	0.132992266984822	-0.0305929353685404
"200652_at"	0.133932015940687	0.189022848423411
"200654_at"	0.219595416971172	0.0561437951722965
"200657_at"	0.344208031085863	0.243137880597208
"200660_at"	-1.14130731641986	-1.88266138468687
"200661_at"	0.801814944210252	0.351410465320049
"200663_at"	-0.172917229789782	-0.392585218428465
"200667_at"	-0.0943637502942121	-0.440061851570759
"200670_at"	-0.318596060356555	-0.582697730322643
"200673_at"	0.35909126826005	0.164607082604094
"200675_at"	0.041704847381288	0.349042865328217
"200677_at"	-0.306719999566081	-0.264659231076312
"200681_at"	-0.41194364230831	0.0818161130337796
"200685_at"	0.717926465890104	0.693324023518977
"200688_at"	-0.449059085837163	-0.316296259186434
"200690_at"	-0.482626098972446	-0.0998510461856839
"200693_at"	0.481483094082298	0.53305890909674
"200695_at"	-0.185044193596719	-0.549909830371709
"200697_at"	-0.313948471413378	0.0985819274361237
"200698_at"	0.262251776708116	0.524638615736871
"200699_at"	-0.272077096640336	-0.161191059024397
"200701_at"	-0.0491977721121479	0.0343391551043464
"200703_at"	-0.41842487709464	-0.237081835011287
"200704_at"	-0.0613132376606647	-1.43557249476663
"200707_at"	-1.82862266515274	-2.10641367608915
"200708_at"	0.041588209401759	0.358759371426858
"200709_at"	-0.419879596821737	-0.671636188060994
"200710_at"	0.188511006838247	0.124665560022835
"200719_at"	0.143470228805635	-0.112861885330313
"200726_at"	0.515583729688926	0.409471991406956
"200728_at"	0.54631373811482	0.623927966801135
"200737_at"	0.36104362976946	0.354131203176673
"200749_at"	-0.71994072541464	-0.179587449821939
"200762_at"	-0.66457136016666	-0.118046527057739
"200766_at"	-0.251215583628093	-0.179988169918195
"200771_at"	1.35717309990087	0.784848998784703
"200774_at"	0.075645256315072	0.228355675466432
"200779_at"	0.29817219636009	-0.137305264827704
"200782_at"	-1.88084719510673	-1.785267916912
"200786_at"	0.0158044976523257	-0.025410938113243
"200789_at"	-0.50185394289757	-0.222837162432704
"200790_at"	-0.493985552409436	-0.227767658882174
"200792_at"	0.395566778702527	0.303767903826845
"200799_at"	-0.680551892862278	-0.319807565000486
"200802_at"	-0.326636208764485	-0.280462941800621
"200804_at"	-0.309756167189166	-0.416671399475323
"200805_at"	0.145761301936259	-0.069020093311071
"200811_at"	1.09258289910791	0.559360863721842
"200812_at"	-0.243946066911889	0.0679879545186992
"200814_at"	-1.03219251446919	-1.20381040700466
"200818_at"	-0.310917504744959	-0.192597949514624
"200820_at"	-0.0230591021689577	-0.0948241174583355
"200821_at"	0.113929180704575	0.167572614365108
"200824_at"	0.426385972268914	0.82322714154037
"200826_at"	-0.314324919481374	-0.37712095324782
"200827_at"	-1.30644343304558	-0.656687121306539
"200830_at"	-0.445195155633755	-0.535225722395715
"200837_at"	-0.525652265389782	-0.565175466345009
"200838_at"	0.0582996335044257	0.563938234814945
"200840_at"	-0.256409629595476	-0.23051702178252
"200848_at"	1.03462331460149	1.50880186123869
"200853_at"	-0.488565445000583	-0.266196168214712
"200854_at"	-0.309968843580466	0.136299444309458
"200855_at"	-0.0477769041875309	0.505953656783296
"200861_at"	-0.771545696391374	-1.11790002921799
"200862_at"	0	0
"200867_at"	0.42928517394237	0.535689643052937
"200869_at"	-0.261285690924669	-0.602894756107911
"200870_at"	-0.00146576208474158	-0.0850325977764115
"200872_at"	0.280978077862203	-0.293681375870417
"200877_at"	-0.188074081883901	0.0447118359122332
"200878_at"	0.402942466698534	-0.425912581316765
"200880_at"	-0.0493273060174033	0.191860812548796
"200883_at"	1.62115267211249	1.72170075834964
"200885_at"	0.963730513536394	0.302818536710255
"200893_at"	-0.160683507453275	-0.182037803063071
"200902_at"	0.497246859661708	0.268315805658366
"200904_at"	0.368204616087626	-0.221609264083195
"200910_at"	0.64685257283527	0.914788902616383
"200913_at"	1.24262549998818	1.34443140359728
"200916_at"	0.416312716797645	0.488918786744701
"200919_at"	0.25238650077493	0.283662927583258
"200922_at"	-0.721106065452205	-0.848885002570257
"200923_at"	0	0
"200925_at"	-0.751602094190405	-0.657852253934683
"200926_at"	-0.491227037082998	-0.918718991813154
"200929_at"	0.0734667755371987	-0.242276569692542
"200934_at"	-0.269312119627825	-0.195651108836666
"200935_at"	0.128966388604377	0
"200936_at"	0.271089259495264	-0.0753977541320001
"200941_at"	-0.613572919731494	-0.668318555511625
"200943_at"	0.18154293533151	0.0846423716686822
"200948_at"	0.287212711057107	0.186809690005402
"200950_at"	0.634574204885304	0.708105551070974
"200955_at"	0.128877194482037	0.481929771024589
"200959_at"	1.03415036191685	0.880873057502791
"200961_at"	-0.341257947826564	-0.204162778161363
"200962_at"	0.0544939486731888	-0.184085224427594
"200964_at"	-1.02125773909819	-0.774249132987419
"200967_at"	0.104926681493108	0.0487171514231086
"200969_at"	-0.00444960791206128	-0.105643209622666
"200972_at"	0.348717001118668	0.527120607808458
"200974_at"	0	-0.567464012593069
"200975_at"	-0.51948150956879	-0.51650183016802
"200978_at"	-0.470995656972343	-0.162096791996944
"200979_at"	-0.516988647991866	-0.00928702512836743
"200986_at"	0.0321056793324006	-0.485981702388939
"200989_at"	0.20731988887842	-0.220971152122724
"200990_at"	-0.741217010952687	-0.481270069028874
"200992_at"	0.411535910107528	0.969389462382237
"200993_at"	0.533208501032197	1.20970799564043
"200994_at"	-0.193438209259719	0.591496280597044
"200995_at"	-0.597897334110524	0.133191704204073
"200996_at"	-0.0712241859097791	-0.244889860228175
"200997_at"	0.239434186814211	-0.0615944527250196
"201000_at"	-0.464390924576719	-0.261906411182581
"201004_at"	-0.40299938944356	-0.474532250666513
"201005_at"	-0.812336002893732	-1.56855762773594
"201007_at"	0.0698028299722608	-0.0413071832293763
