A	B
1552415_a_at	0	0
1552417_a_at	0.373763923112692	0
1552418_at	0	0
1552419_s_at	0	-1.51794785124125
1552421_a_at	0	0
1552422_at	-7.53878557251376	0
1552423_at	0.176104289164716	0.373711504579059
1552424_at	0	0
1552425_a_at	-1.11076143839417	0
1552426_a_at	0.583535938788692	0.603088838162224
1552427_at	1.7684030383399	-0.0173242599023427
1552430_at	2.74234631647303	0.985322578095444
1552432_at	0	0
1552436_a_at	0	0
1552438_a_at	0	0
1552439_s_at	0	-0.0120675979670395
1552440_at	0	1.39559636093533
1552445_a_at	3.37086153988398	1.21714397338901
1552448_a_at	0	0
1552449_a_at	0	0
1552450_a_at	0	0
1552452_at	0	0
1552453_a_at	0	0
1552455_at	-2.45264835939844	-0.163977432100639
1552456_a_at	0	0
1552457_a_at	0	-1.18787673721495
1552458_at	0	-1.22876995983861
1552459_a_at	0	0
1552461_at	0	0
1552463_at	1.11265500507668	1.02688199281847
1552466_x_at	0	0
1552467_at	0	0
1552468_a_at	0	0
1552470_a_at	-5.76442861021712	0
1552472_a_at	0.48923358795105	0
1552473_at	0	0
1552474_a_at	-0.337175064247438	-3.80655164564931
1552476_s_at	-3.28133320396416	0
1552477_a_at	0	-0.0451390700231915
1552478_a_at	0	6.80832108697971
1552480_s_at	0	0
1552481_s_at	2.9558622030808	1.69869776196628
1552482_at	4.87988527831029	2.65602032603447
1552484_at	0	0
1552485_at	-0.1624026259188	0.204485331559594
1552486_s_at	0.305013652526645	0.277763788862385
1552487_a_at	0	0
1552489_s_at	-1.10420119749426	0.0827852478080304
1552490_at	2.35653107019941	1.56639073050212
1552491_at	0	0
1552493_s_at	0	0
1552494_at	0	0
1552496_a_at	-0.351746444782973	-0.439623680603622
1552497_a_at	0.101038042278449	5.21433531380299
1552498_at	0	0
1552499_a_at	-1.13090296511881	0
1552501_a_at	0	0
1552502_s_at	0.11593207385429	-1.19460186844612
1552503_at	0	0
1552504_a_at	0	0.580406586703615
1552506_at	0	4.37366847652723
1552507_at	1.98879811355876	0
1552508_at	0.294514781000524	-1.42382330232685
1552509_a_at	1.23464006941101	-1.10501100304223
1552510_at	0	0
1552511_a_at	0	0
1552514_at	0	-2.81167645781387
1552515_at	0	0
1552516_a_at	-0.583416674012678	-0.746982706385305
1552518_s_at	0	0
1552519_at	0.139511525519453	0.0162479453643751
1552520_at	0.230857898935442	0.499697227676419
1552521_a_at	-1.04139682308826	0.745814795658785
1552522_at	0	1.39896100880322
1552523_a_at	1.2570401127627	1.1736361753534
1552524_at	0	0
1552526_at	0	0
1552528_at	0	0
1552531_a_at	-0.114464741234805	0
1552532_a_at	0	0
1552535_at	0	0
1552536_at	0.177050415892357	4.26836890603319
1552538_a_at	0	1.33927747081122
1552540_s_at	0	0
1552541_at	0	0
1552542_s_at	0	0
1552543_a_at	1.38814121308925	0
1552544_at	2.64899256173556	0
1552546_a_at	3.99786243775459	-0.0729332095641055
1552548_at	0	0
1552549_a_at	0	0
1552552_s_at	0	-1.11065858837552
1552553_a_at	0	0
1552554_a_at	0	-1.14851152824138
1552555_at	-4.06782112069856	0
1552557_a_at	3.93025694016182	3.39353650460166
1552558_a_at	3.22909240672339	3.55700833351577
1552559_a_at	0	0
1552562_at	-2.62702037945431	4.35184401552514
1552563_a_at	0	-1.26187078615877
1552564_at	1.26877101574107	3.8307143423374
1552566_at	0	0
1552568_at	0	0
1552569_a_at	0	0
1552570_at	0	0
1552572_a_at	2.30061687160021	2.14747605037453
1552573_s_at	1.41810919285809	0
1552575_a_at	0.219756965152545	0
1552576_at	0	0
1552578_a_at	0	-1.08782695511268
1552579_a_at	1.499054729163	-1.25810419913542
1552580_at	-5.85525204900531	0
1552582_at	0	0
1552583_s_at	0	0
1552584_at	0.186469351311524	0
1552585_s_at	0	0
1552586_at	0	2.89497063378925
1552587_at	2.5149435778161	2.53802680609466
1552588_a_at	0	0
1552590_a_at	0	0
1552592_at	0	0
1552594_at	0	0
1552596_at	0	0
1552598_at	0	0
1552599_at	1.30359307641177	2.75068582556961
1552602_at	1.36343696198866	1.52066855021029
1552604_at	0	0
1552605_s_at	0	0
1552607_at	-3.92921623306419	-1.30877031608288
1552608_at	0	0
1552609_s_at	2.489682241444	0
1552610_a_at	-0.351145340853984	-0.475487124917843
1552611_a_at	0.255424371357986	0.881173382985571
1552612_at	0.0416832156378888	-0.0434960913535942
1552613_s_at	-0.0163848914540772	-0.448503222473613
1552615_at	0	3.92540042867612
1552616_a_at	0	0
1552617_a_at	-0.103277716847218	-0.220506293867675
1552618_at	-0.103794241799767	-0.26170520784547
1552619_a_at	0.295619688912563	0.088059408084499
1552620_at	0	0
1552621_at	-0.0355953655151975	0.214632917734969
1552622_s_at	0.129398516802917	0.502305216667496
1552623_at	-3.92908061589389	0
1552625_a_at	0.031180099185562	0.389434522368472
1552626_a_at	0	0.0439059524998324
1552627_a_at	0.329666976347456	0.594412081672873
1552628_a_at	0.0943496544022882	0.188993127876294
1552629_a_at	0	-1.39973948873921
1552630_a_at	0	0
1552631_a_at	-3.81206149641369	-1.1882353720623
1552632_a_at	-0.147299302133689	0.133329948461475
1552633_at	0.879084281404834	-1.25971106023167
1552634_a_at	-0.0403169031736894	-1.25878087012971
1552637_at	0	0
1552639_at	0	0
1552641_s_at	-2.01955334759262	0
1552643_at	0	0
1552644_a_at	0.415111358042416	1.54574855670396
1552646_at	-1.53580100279912	-1.41967461423955
1552648_a_at	0.641762378509476	0
1552649_a_at	-1.41106106972001	-1.6650556019011
